Time_datenum,Time_UTC,Boat_Latitude,Boat_Longitude,Boat_pos_x_m,Boat_pos_y_m,Sensor1_pos_x_m,Sensor1_pos_y_m,Sensor1_pos_z_m,Sensor2_pos_x_m,Sensor2_pos_y_m,Sensor2_pos_z_m
736950.707256482,12-Sep-2017 16:58:26.960,20.4605543074982,-156.950814447629,0,0,0,0,8.7259765625,0,0,11.8522942566464
736950.707262269,12-Sep-2017 16:58:27.460,20.4605498111208,-156.950789217956,2.63244827767251,-0.49779414902662,-326.946672944082,61.8253897771478,8.72677441448487,-352.091058228397,66.5801756476111,11.7974531254224
736950.707268056,12-Sep-2017 16:58:27.960,20.4605453147434,-156.950763988282,5.2648967107156,-0.995587893052222,-324.314234439968,61.3275435266766,8.73202338512644,-349.458620481784,66.0823253912967,11.8027020960639
736950.707273843,12-Sep-2017 16:58:28.460,20.4605408182756,-156.950738758102,7.89739824995424,-1.49339124420967,-321.681742848255,60.8296875706776,8.76240505969781,-346.826129648992,65.5844654219476,11.9344119918968
736950.70727963,12-Sep-2017 16:58:28.960,20.4605363218982,-156.950713528429,10.5298469900091,-1.99118417786003,-319.049304010915,60.3318422691152,8.93299832141656,-344.193691567153,65.0866161251109,12.771631230178
736950.707285417,12-Sep-2017 16:58:29.460,20.4605318255208,-156.950688298755,13.1622958805476,-2.48897670479402,-316.416865067363,59.8339971400967,9.05813320442028,-341.561253382482,64.5887669829527,13.3508742353924
736950.707291204,12-Sep-2017 16:58:29.960,20.4605273291434,-156.950663069082,15.7947449240791,-2.98676882616485,-313.784425955297,59.3361524986827,8.92966135153816,-338.928815028111,64.090918334658,12.4908993834468
736950.707296991,12-Sep-2017 16:58:30.460,20.4605225536807,-156.950637928818,18.4178653197575,-3.51545811447883,-310.390145005171,62.7557177175637,8.82006567682101,-335.475700381162,67.811705403277,11.762271954699
736950.707302778,12-Sep-2017 16:58:30.960,20.4605174784946,-156.950612885686,21.0308511011019,-4.07732941355042,-306.89352221181,66.4363698748426,8.81744380227239,-331.911662791017,71.8160298974709,11.7780032019906
736950.707308565,12-Sep-2017 16:58:31.460,20.4605124033085,-156.950587842555,23.6438370475076,-4.63920031304338,-304.280547487313,65.8744467877772,8.80977749594538,-329.298688922666,71.2541028288898,11.8577599295466
736950.707314352,12-Sep-2017 16:58:31.960,20.4605073281224,-156.950562799424,26.2568231695175,-5.20107081387324,-301.667572622062,65.3125239372609,8.77307125226478,-326.685714916221,70.6921759844898,12.3061004773597
736950.707320139,12-Sep-2017 16:58:32.460,20.4605022528342,-156.950537755789,28.8698620205886,-5.76295221658064,-299.054545028318,64.750590182189,8.75244235808443,-324.072688181325,70.1302382353299,12.6537705890619
736950.707325926,12-Sep-2017 16:58:32.960,20.4604971776482,-156.950512712657,31.4828484857248,-6.32482191773925,-296.441569835007,64.1886680611984,8.82585484544564,-321.459713847968,69.568312115104,12.4125581305893
736950.707331713,12-Sep-2017 16:58:33.460,20.4604921024621,-156.950487669526,34.0958351219181,-6.88669121946449,-293.828594450194,63.6267464346795,8.89133904999859,-318.84673932155,69.0063864966006,12.1788964176485
736950.7073375,12-Sep-2017 16:58:33.960,20.460487027276,-156.950462626395,36.7088219276713,-7.44856012111664,-291.215618904008,63.0648251701195,8.90969217183889,-316.233764634384,68.4444612371481,11.9901214501482
736950.707343287,12-Sep-2017 16:58:34.460,20.4604819519878,-156.950437582759,39.3218614713165,-8.01043992632276,-288.602590622485,62.5028929900828,8.94703376254851,-313.620737212076,67.8825250613094,11.8664979290732
736950.707349074,12-Sep-2017 16:58:34.960,20.4604768768017,-156.950412539628,41.9348486200158,-8.57230802941337,-285.989614711121,61.9409726273979,9.09910248636816,-311.007762158034,67.3206007116141,12.1365510075805
736950.707354861,12-Sep-2017 16:58:35.460,20.4604718016156,-156.950387496497,44.5478359405069,-9.13417573249386,-283.376638660925,61.3790525113977,9.19975514969244,-308.394786967676,66.7586765969059,12.3592461545519
736950.707360648,12-Sep-2017 16:58:35.960,20.4604667263275,-156.950362452862,47.1608759992158,-9.69605433917677,-280.763609864189,60.8171215304572,8.98454085944572,-305.781759030143,66.1967416202071,12.2910074771566
736950.707366435,12-Sep-2017 16:58:36.460,20.4604616511414,-156.95033740973,49.7738636632075,-10.2579212429107,-278.15063346095,60.2552022580958,8.80900733677904,-303.168783486015,65.634818352517,12.2745400382775
736950.707372222,12-Sep-2017 16:58:36.960,20.4604565759553,-156.950312366599,52.3868515016458,-10.8197877472984,-275.537656890381,59.6932833519485,8.87717607504302,-300.555807775099,65.0728954485132,12.5760556113682
736950.707378009,12-Sep-2017 16:58:37.460,20.4604515007692,-156.950287323468,54.999839509041,-11.3816538521217,-272.924680126021,59.1313649608148,8.94245674054337,-297.942831868497,64.5109730683309,12.8392215343342
736950.707383796,12-Sep-2017 16:58:37.960,20.460446425481,-156.950262279832,57.6128802547997,-11.9435308607172,-270.311650637725,58.5694355987773,8.98969842664417,-295.329803239059,63.9490397121232,12.8628423773846
736950.707389583,12-Sep-2017 16:58:38.460,20.4604413502949,-156.950237236701,60.2258686047666,-12.5053961659954,-267.698673552922,58.0075179041979,9.030419921875,-292.716827013703,63.3871180206377,12.854981185079
736950.70739537,12-Sep-2017 16:58:38.960,20.4604362751089,-156.95021219357,62.838857127877,-13.0672610723925,-265.085696278418,57.4456006854584,9.030419921875,-290.103850597383,62.8251968108635,12.6504749702871
